species_id,name,classification,origin_system,first_contact_date,intelligence_level,compatibility,threat_level,description
XEN-001,Аркадианцы,Гуманоид,Арктур IV,2021-08-15,Высокий,Дружественные,Низкий,"Высокие (2-2.3м) гуманоиды с бледно-голубой кожей. Телепатические способности, продолжительность жизни ~400 лет. Технологически развитая цивилизация с акцентом на биоинженерию и устойчивое развитие."
XEN-002,Корахи,Рептилоид,Сигма Дракона,2022-03-22,Высокий,Нейтральные,Средний,"Рептилоидная раса с развитой социальной структурой типа «улей». Размер особей варьируется от 0.5м до 3м. Технологии основаны на геотермальной энергии и органических компьютерах."
XEN-003,Мелкарины,Аморфные,Туманность Орла,2023-11-07,Сверхвысокий,Загадочные,Неизвестно,"Кремниевые энергетические сущности без постоянной физической формы. Общение через модуляцию электромагнитных полей. Возраст цивилизации оценивается в миллионы лет."
XEN-004,Зо'ран,Инсектоид,HD 40307g,2024-01-30,Высокий,Осторожные,Высокий,"Насекомоподобные существа с экзоскелетом и шестью конечностями. Строгая кастовая система. Развитые технологии терраформирования и квантовой связи. Территориальность может приводить к конфликтам."
XEN-005,Лумиани,Энергетические,Вега Прайм,2024-09-18,Сверхвысокий,Дружественные,Низкий,"Существа из чистой энергии, способные принимать визуально воспринимаемые формы для контакта с другими видами. Не имеют физических потребностей. Обладают уникальным пониманием пространства-времени."
XEN-006,Квазары,Кристаллоид,PSR B1257+12,2025-02-11,Высокий,Нейтральные,Низкий,"Кристаллические организмы с коллективным разумом. Крайне медленный метаболизм (1 мысль может формироваться годами). Продолжительность жизни особи до 50000 лет. Общаются через световые импульсы."
XEN-007,Некситы,Наномеханический,Неизвестно,2025-04-03,Неопределенный,Неизвестно,Средний,"Искусственная форма жизни, предположительно созданная исчезнувшей цивилизацией. Состоят из самовосстанавливающихся наномеханизмов, способных формировать различные структуры. Мотивы неясны."
XEN-008,Хайдрос,Амфибия,Глизе 667 Cc,2024-05-17,Высокий,Дружественные,Низкий,"Амфибии с продвинутой гидроинженерией. Общество основано на общем благе. Технологии базируются на манипуляциях с водой на молекулярном уровне. Ценят искусство и культурный обмен."
XEN-009,Теневики,Газообразные,HD 189733b,2024-08-29,Высокий,Осторожные,Неизвестно,"Разумные облака газа, живущие в верхних слоях атмосфер газовых гигантов. Общаются через изменения плотности и электрических зарядов. Концепция индивидуальности отличается от человеческой."
XEN-010,Квантумы,Квантовые,Центавр Проксима,2025-01-15,Сверхвысокий,Загадочные,Неизвестно,"Существа, одновременно присутствующие в нескольких квантовых состояниях. Понимание ограничено текущими научными концепциями человечества. Контакт затруднен из-за фундаментальных различий в восприятии реальности."
XEN-011,Элдринги,Древние,M87,2024-12-03,Сверхвысокий,Нейтральные,Высокий,"Одна из старейших известных цивилизаций (предположительно 2-3 миллиарда лет). Физическая форма неизвестна. Технологии неотличимы от природных явлений. Редко вступают в контакт с молодыми видами."
XEN-012,Биоформы,Симбиотические,Эпсилон Эридана,2025-03-22,Высокий,Дружественные,Низкий,"Коллективные организмы, состоящие из миллионов микроскопических существ, формирующих единый разум. Способны менять форму и функции. Глубокое понимание экосистем и симбиотических отношений."